,antecedents,consequents,confidence,lift,jaccard_coefficient,kulczynski_measure,confidence_norm,lift_norm,jaccard_coefficient_norm,kulczynski_measure_norm,score
6540,"frozenset({'Runs >= 25 and < 50', 'Babar Azam', 'S/R >= 90 and < 120', '1st Inning'})",frozenset({'Lost'}),0.6666666666666667,1.5696821515892423,0.014563106796116505,0.5456905503634476,0.3333333333333335,0.03256396493111469,0.02332633369263992,0.6171735241502685,0.295406353845984
4642,"frozenset({'Babar Azam', 'England'})","frozenset({'Top Order', 'Lost'})",0.6,4.1869565217391305,0.06250000000000001,0.3716510903426791,0.19999999999999996,0.2497514527760274,0.47315597387629665,0.21741204531902208,0.2921455510361983
1019,"frozenset({'Babar Azam', 'England'})",frozenset({'Lost'}),0.6,1.4127139364303178,0.021686746987951807,0.5123572170301143,0.19999999999999996,0.019538378958668803,0.09017306259228228,0.5406082289803221,0.2511882253676482
4640,"frozenset({'Top Order', 'Babar Azam', 'England'})",frozenset({'Lost'}),0.6,1.4127139364303178,0.021686746987951807,0.5123572170301143,0.19999999999999996,0.019538378958668803,0.09017306259228228,0.5406082289803221,0.2511882253676482
4664,"frozenset({'Top Order', 'Babar Azam', 'Sri Lanka'})",frozenset({'Lost'}),0.625,1.4715770171149143,0.012135922330097089,0.5248572170301142,0.25,0.024422973698335994,0.0005501493795433942,0.5693202146690519,0.24840340658441218
1022,"frozenset({'Babar Azam', 'Sri Lanka'})",frozenset({'Lost'}),0.625,1.4715770171149143,0.012135922330097089,0.5248572170301142,0.25,0.024422973698335994,0.0005501493795433942,0.5693202146690519,0.24840340658441218
4666,"frozenset({'Babar Azam', 'Sri Lanka'})","frozenset({'Top Order', 'Lost'})",0.625,4.361413043478262,0.03546099290780143,0.38415109034267914,0.25,0.26422825892475127,0.21942766529618038,0.246124031007752,0.24108833478365485
9270,"frozenset({'Babar Azam', 'England', 'S/R >= 120'})","frozenset({'Top Order', 'Lost'})",0.6,4.1869565217391305,0.04225352112676057,0.3716510903426791,0.19999999999999996,0.2497514527760274,0.28316730965895254,0.21741204531902208,0.2351489517709951
6530,"frozenset({'Babar Azam', 'England', '1st Inning'})","frozenset({'Top Order', 'Lost'})",0.6,4.1869565217391305,0.04225352112676057,0.3716510903426791,0.19999999999999996,0.2497514527760274,0.28316730965895254,0.21741204531902208,0.2351489517709951
4639,"frozenset({'Babar Azam', 'England', 'S/R >= 120'})",frozenset({'Lost'}),0.6,1.4127139364303178,0.014527845036319612,0.5123572170301143,0.19999999999999996,0.019538378958668803,0.022995444816420584,0.5406082289803221,0.23103494003488967
9266,"frozenset({'Top Order', 'Babar Azam', 'England', 'S/R >= 120'})",frozenset({'Lost'}),0.6,1.4127139364303178,0.014527845036319612,0.5123572170301143,0.19999999999999996,0.019538378958668803,0.022995444816420584,0.5406082289803221,0.23103494003488967
6527,"frozenset({'Top Order', 'Babar Azam', 'England', '1st Inning'})",frozenset({'Lost'}),0.6,1.4127139364303178,0.014527845036319612,0.5123572170301143,0.19999999999999996,0.019538378958668803,0.022995444816420584,0.5406082289803221,0.23103494003488967
2134,"frozenset({'Babar Azam', 'England', '1st Inning'})",frozenset({'Lost'}),0.6,1.4127139364303178,0.014527845036319612,0.5123572170301143,0.19999999999999996,0.019538378958668803,0.022995444816420584,0.5406082289803221,0.23103494003488967
2141,"frozenset({'Runs >= 25 and < 50', 'Babar Azam', '1st Inning'})",frozenset({'Lost'}),0.5833333333333334,1.373471882640587,0.016908212560386476,0.504023883696781,0.16666666666666674,0.016281982465557347,0.04533230887437572,0.5214669051878356,0.22166796246521914
6543,"frozenset({'Runs >= 25 and < 50', 'Babar Azam', '1st Inning'})","frozenset({'Lost', 'S/R >= 90 and < 120'})",0.5,5.5344827586206895,0.06451612903225808,0.29517133956386293,0.0,0.3615723002696182,0.4920749011686268,0.04174120453190225,0.19630206173712056
2146,"frozenset({'Babar Azam', 'S/R >= 90 and < 120', '1st Inning'})",frozenset({'Lost'}),0.5263157894736843,1.239222751254665,0.023923444976076555,0.4755151117669564,0.052631578947368585,0.005141678673333907,0.11116176219195,0.4559834290556446,0.18644719892582234
4655,"frozenset({'Runs >= 25 and < 50', 'Babar Azam', 'S/R >= 90 and < 120'})",frozenset({'Lost'}),0.5,1.1772616136919316,0.01682692307692308,0.46235721703011423,0.0,0.0,0.044569505600047285,0.4257602862254025,0.14109893754763492
6547,"frozenset({'Runs >= 25 and < 50', 'Top Order', 'Babar Azam', '1st Inning'})",frozenset({'Lost'}),0.5,1.1772616136919316,0.01207729468599034,0.46235721703011423,0.0,0.0,0.0,0.4257602862254025,0.12772808586762074
