,Match ID,Date,Venue,Winner,Bowler,Runs Concided,Wickets,Economy,Ball Bowled,Opponent Team,Inning,Over Bowled
0,225263,2006-08-28,County Ground,Pakistan,Abdul Razzaq,30,3,7.5,24,England,1,4
4,225263,2006-08-28,County Ground,Pakistan,Mohammad Asif,21,2,5.25,24,England,1,4
5,225263,2006-08-28,County Ground,Pakistan,Naved-ul-Hasan,26,1,6.5,25,England,1,4
9,225263,2006-08-28,County Ground,Pakistan,Shahid Afridi,28,0,7.0,26,England,1,4
10,225263,2006-08-28,County Ground,Pakistan,Shoaib Akhtar,31,1,7.75,24,England,1,4
15,287855,2007-09-12,Kingsmead,Pakistan,Mohammad Asif,28,1,9.33,23,Scotland,2,3
16,287855,2007-09-12,Kingsmead,Pakistan,Mohammad Hafeez,24,1,6.0,25,Scotland,2,4
18,287855,2007-09-12,Kingsmead,Pakistan,Shahid Afridi,19,4,4.75,26,Scotland,2,4
19,287855,2007-09-12,Kingsmead,Pakistan,Shoaib Malik,3,0,3.0,6,Scotland,2,1
20,287855,2007-09-12,Kingsmead,Pakistan,Umar Gul,25,4,6.25,27,Scotland,2,4
21,287855,2007-09-12,Kingsmead,Pakistan,Yasir Arafat,14,0,4.67,18,Scotland,2,3
24,287868,2007-09-17,New Wanderers Stadium,Pakistan,Mohammad Asif,47,2,11.75,27,Sri Lanka,2,4
25,287868,2007-09-17,New Wanderers Stadium,Pakistan,Mohammad Hafeez,46,1,11.5,26,Sri Lanka,2,4
28,287868,2007-09-17,New Wanderers Stadium,Pakistan,Shahid Afridi,18,3,4.5,25,Sri Lanka,2,4
29,287868,2007-09-17,New Wanderers Stadium,Pakistan,Sohail Tanvir,26,1,6.5,28,Sri Lanka,2,4
30,287868,2007-09-17,New Wanderers Stadium,Pakistan,Umar Gul,14,2,3.5,25,Sri Lanka,2,4
36,287870,2007-09-18,New Wanderers Stadium,Pakistan,Mohammad Asif,34,1,8.5,26,Australia,1,4
37,287870,2007-09-18,New Wanderers Stadium,Pakistan,Mohammad Hafeez,31,1,7.75,24,Australia,1,4
40,287870,2007-09-18,New Wanderers Stadium,Pakistan,Shahid Afridi,35,1,8.75,24,Australia,1,4
41,287870,2007-09-18,New Wanderers Stadium,Pakistan,Sohail Tanvir,31,3,7.75,25,Australia,1,4
42,287870,2007-09-18,New Wanderers Stadium,Pakistan,Umar Gul,29,1,7.25,24,Australia,1,4
46,287875,2007-09-20,Newlands,Pakistan,Mohammad Asif,26,3,6.5,26,Bangladesh,1,4
47,287875,2007-09-20,Newlands,Pakistan,Mohammad Hafeez,27,2,9.0,19,Bangladesh,1,3
48,287875,2007-09-20,Newlands,Pakistan,Shahid Afridi,25,1,6.25,24,Bangladesh,1,4
50,287875,2007-09-20,Newlands,Pakistan,Shoaib Malik,15,2,7.5,13,Bangladesh,1,2
51,287875,2007-09-20,Newlands,Pakistan,Sohail Tanvir,27,0,9.0,23,Bangladesh,1,3
53,287875,2007-09-20,Newlands,Pakistan,Umar Gul,17,2,5.67,23,Bangladesh,1,3
55,287877,2007-09-22,Newlands,Pakistan,Fawad Alam,29,2,9.67,18,New Zealand,1,3
59,287877,2007-09-22,Newlands,Pakistan,Mohammad Asif,34,0,8.5,24,New Zealand,1,4
60,287877,2007-09-22,Newlands,Pakistan,Mohammad Hafeez,10,1,10.0,6,New Zealand,1,1
63,287877,2007-09-22,Newlands,Pakistan,Shahid Afridi,24,1,6.0,26,New Zealand,1,4
64,287877,2007-09-22,Newlands,Pakistan,Sohail Tanvir,30,1,7.5,27,New Zealand,1,4
65,287877,2007-09-22,Newlands,Pakistan,Umar Gul,15,3,3.75,24,New Zealand,1,4
69,287879,2007-09-24,New Wanderers Stadium,India,Mohammad Asif,25,1,8.33,19,India,1,3
70,287879,2007-09-24,New Wanderers Stadium,India,Mohammad Hafeez,25,0,8.33,18,India,1,3
73,287879,2007-09-24,New Wanderers Stadium,India,Shahid Afridi,30,0,7.5,24,India,1,4
74,287879,2007-09-24,New Wanderers Stadium,India,Sohail Tanvir,29,1,7.25,26,India,1,4
75,287879,2007-09-24,New Wanderers Stadium,India,Umar Gul,28,3,7.0,26,India,1,4
77,287879,2007-09-24,New Wanderers Stadium,India,Yasir Arafat,19,0,9.5,12,India,1,2
80,306989,2007-09-02,Gymkhana Club Ground,Pakistan,Iftikhar Anjum,33,1,8.25,24,Bangladesh,2,4
83,306989,2007-09-02,Gymkhana Club Ground,Pakistan,Mohammad Asif,36,0,9.0,25,Bangladesh,2,4
84,306989,2007-09-02,Gymkhana Club Ground,Pakistan,Shahid Afridi,26,2,6.5,24,Bangladesh,2,4
85,306989,2007-09-02,Gymkhana Club Ground,Pakistan,Shoaib Akhtar,30,2,7.5,26,Bangladesh,2,4
87,306989,2007-09-02,Gymkhana Club Ground,Pakistan,Yasir Arafat,31,2,7.75,25,Bangladesh,2,4
88,306991,2007-09-04,Gymkhana Club Ground,Pakistan,Abdur Rehman,7,2,2.33,18,Kenya,1,3
89,306991,2007-09-04,Gymkhana Club Ground,Pakistan,Fawad Alam,15,1,3.75,24,Kenya,1,4
92,306991,2007-09-04,Gymkhana Club Ground,Pakistan,Mohammad Hafeez,19,2,6.33,18,Kenya,1,3
95,306991,2007-09-04,Gymkhana Club Ground,Pakistan,Shoaib Akhtar,22,2,5.5,24,Kenya,1,4
96,306991,2007-09-04,Gymkhana Club Ground,Pakistan,Umar Gul,7,0,2.33,19,Kenya,1,3
97,306991,2007-09-04,Gymkhana Club Ground,Pakistan,Younis Khan,18,3,6.0,22,Kenya,1,3
101,343764,2008-04-20,National Stadium,Pakistan,Mansoor Amjad,3,3,3.0,7,Bangladesh,2,1
104,343764,2008-04-20,National Stadium,Pakistan,Shahid Afridi,19,3,4.75,24,Bangladesh,2,4
106,343764,2008-04-20,National Stadium,Pakistan,Shoaib Malik,27,1,9.0,20,Bangladesh,2,3
107,343764,2008-04-20,National Stadium,Pakistan,Sohail Tanvir,23,1,7.67,20,Bangladesh,2,3
108,343764,2008-04-20,National Stadium,Pakistan,Umar Gul,19,0,6.33,20,Bangladesh,2,3
109,343764,2008-04-20,National Stadium,Pakistan,Wahab Riaz,7,2,3.5,14,Bangladesh,2,2
115,355996,2009-06-07,Kennington Oval,England,Mohammad Amir,31,1,10.33,18,England,1,3
117,355996,2009-06-07,Kennington Oval,England,Saeed Ajmal,23,2,5.75,25,England,1,4
118,355996,2009-06-07,Kennington Oval,England,Shahid Afridi,36,0,9.0,24,England,1,4
119,355996,2009-06-07,Kennington Oval,England,Shoaib Malik,13,0,13.0,8,England,1,1
120,355996,2009-06-07,Kennington Oval,England,Umar Gul,37,2,9.25,27,England,1,4
121,355996,2009-06-07,Kennington Oval,England,Yasir Arafat,42,0,10.5,25,England,1,4
124,355999,2009-06-09,Lord's,Pakistan,Mohammad Amir,16,1,8.0,12,Netherlands,2,2
128,355999,2009-06-09,Lord's,Pakistan,Saeed Ajmal,20,3,5.0,24,Netherlands,2,4
129,355999,2009-06-09,Lord's,Pakistan,Shahid Afridi,11,4,2.75,26,Netherlands,2,4
130,355999,2009-06-09,Lord's,Pakistan,Shoaib Malik,18,1,9.0,14,Netherlands,2,2
131,355999,2009-06-09,Lord's,Pakistan,Sohail Tanvir,13,0,4.33,18,Netherlands,2,3
